"Constituent ID","Gift ID","Gift Date","Fund Description","Gift Amount","Preferred ZIP"
11126273,9118,05/07/2019,"Think Again 2017 Capital Campaign",15000,2903
11126148,9110,04/25/2019,"Think Again 2017 Capital Campaign",50000,2903
11126148,10142,04/15/2020,"PPL Annual Fund",50000,2903
11126148,8259,07/26/2018,"Think Again 2017 Capital Campaign",100000,2903
11126148,8265,07/27/2018,"Think Again 2017 Capital Campaign",50000,2903
11126148,12628,03/31/2022,"Think Again 2017 Capital Campaign",50000,2903
11126148,10663,04/10/2020,"PPL Annual Fund",50000,2903
11126148,11570,04/13/2021,"Think Again 2017 Capital Campaign",50000,2903
11200,3318,07/01/2011,"Annual Fund",200,"02904-1863"
11200,3677,06/01/2012,"Annual Fund",100,"02904-1863"
11200,4385,12/13/2013,"Annual Fund",200,"02904-1863"
11200,5133,12/22/2014,"Annual Fund",250,"02904-1863"
11200,5570,12/14/2015,"Annual Fund",250,"02904-1863"
11200,6680,12/22/2016,"PPL Annual Fund",250,"02904-1863"
11200,6959,02/20/2017,"PPL Annual Fund",250,"02904-1863"
8978,4795,08/02/2014,"Annual Fund",250,"02809-0998"
8978,11646,05/19/2021,"Savor the Story 2021",250,"02809-0998"
8978,11165,01/28/2021,"PPL Annual Fund",100,"02809-0998"
11125617,13783,04/01/2023,"RI Family Literacy Initiative",100,2889
11125617,5529,12/01/2015,"Annual Fund",25,2889
11125617,5696,01/15/2016,"Annual Fund",25,2889
11125617,12636,04/01/2022,"PPL Annual Fund",100,2889
11125617,11790,06/09/2021,"PPL Annual Fund",100,2889
11125617,12157,11/30/2021,"PPL Annual Fund",100,2889
11125617,8537,11/27/2018,"PPL Annual Fund",100,2889
11125617,8746,12/14/2018,"PPL Annual Fund",100,2889
11138909,2861,06/30/2010,"Annual Fund",100,"02536-6520"
11138909,3298,06/27/2011,"Annual Fund",100,"02536-6520"
11138909,3807,11/21/2012,"Annual Fund",100,"02536-6520"
11138909,4434,12/23/2013,"Annual Fund",100,"02536-6520"
11138909,4966,11/23/2014,"Annual Fund",100,"02536-6520"
11138909,5480,11/25/2015,"Annual Fund",100,"02536-6520"
11138909,6371,11/26/2016,"PPL Annual Fund",100,"02536-6520"
11138909,7540,11/22/2017,"PPL Annual Fund",100,"02536-6520"
11138909,8514,11/23/2018,"PPL Annual Fund",100,"02536-6520"
11138909,9623,11/25/2019,"PPL Annual Fund",150,"02536-6520"
11138909,10699,10/28/2020,"PPL Annual Fund",100,"02536-6520"
11138909,11171,01/29/2021,"PPL Annual Fund",100,"02536-6520"
11138909,12022,10/05/2021,"PPL Annual Fund",200,"02536-6520"
11138909,12435,01/25/2022,"PPL Annual Fund",200,"02536-6520"
11138909,13247,10/14/2022,"PPL Annual Fund",100,"02536-6520"
11138909,13633,02/02/2023,"PPL Annual Fund",100,"02536-6520"
10794,14578,12/20/2023,"PPL Annual Fund",100,"02880-0364"
10794,13506,12/22/2022,"PPL Annual Fund",100,"02880-0364"
10794,15455,01/03/2025,"PPL Annual Fund",100,"02880-0364"
10794,8615,12/16/2018,"PPL Annual Fund",50,"02880-0364"
10794,9787,12/16/2019,"PPL Annual Fund",100,"02880-0364"
10794,12366,12/30/2021,"PPL Annual Fund",100,"02880-0364"
10794,10881,12/09/2020,"PPL Annual Fund",100,"02880-0364"
10794,5574,12/10/2015,"Annual Fund",100,"02880-0364"
10794,6455,11/30/2016,"PPL Annual Fund",50,"02880-0364"
10794,7581,12/10/2017,"PPL Annual Fund",100,"02880-0364"
10794,5124,12/16/2014,"Annual Fund",50,"02880-0364"
10794,4690,05/27/2014,"Annual Fund",50,"02880-0364"
10794,3400,11/28/2011,"Restricted Fund",50,"02880-0364"
10794,3000,01/07/2011,"Annual Fund",35,"02880-0364"
11125089,12515,03/09/2022,"Savor the Story 2022",1000,2903
11125089,12561,03/21/2022,"Savor the Story 2022",1000,2903
11125089,9109,05/01/2019,"Gala Event 2019",1000,2903
11125089,8959,02/11/2019,"Gala Event 2019",1000,2903
11135040,12209,12/03/2021,"PPL Annual Fund",100,2813
11135040,11651,05/19/2021,"PPL Annual Fund",100,2813
11135040,11447,04/02/2020,"PPL Annual Fund",50,2813
11135040,15266,09/06/2024,"PPL Annual Fund",1000,2813
11135040,15385,12/13/2024,"PPL Annual Fund",500,2813
11135040,14967,04/15/2024,"Savor the Story 2024",311.19,2813
11135040,14967,04/15/2024,"PPL Annual Fund",311.19,2813
11135040,13406,11/29/2022,"PPL Annual Fund",1000,2813
11135040,14533,05/18/2023,"PPL Annual Fund",5000,2813
11135040,13831,04/08/2023,"Savor the Story 2023",311.19,2813
11135040,13831,04/08/2023,"PPL Annual Fund",311.19,2813
11127594,9942,01/29/2020,"PPL Annual Fund",250,"02825-1230"
11127594,10915,12/11/2020,"PPL Annual Fund",500,"02825-1230"
11127594,11275,02/26/2021,"PPL Annual Fund",500,"02825-1230"
11127552,11435,04/06/2021,"PPL Annual Fund",700,"99801-1718"
11127449,12012,09/17/2021,"PPL Annual Fund",100,"02860-5601"
