Constituent ID,Gift ID,Gift Date,Fund Description,Gift Amount,Preferred ZIP
11126273,9118.0,05/07/2019,Think Again 2017 Capital Campaign,15000.0,02903
11126148,9110.0,04/25/2019,Think Again 2017 Capital Campaign,50000.0,02903
11126148,10142.0,04/15/2020,PPL Annual Fund,50000.0,02903
11126148,8259.0,07/26/2018,Think Again 2017 Capital Campaign,100000.0,02903
11126148,8265.0,07/27/2018,Think Again 2017 Capital Campaign,50000.0,02903
11126148,12628.0,03/31/2022,Think Again 2017 Capital Campaign,50000.0,02903
11126148,10663.0,04/10/2020,PPL Annual Fund,50000.0,02903
11126148,11570.0,04/13/2021,Think Again 2017 Capital Campaign,50000.0,02903
11200,3318.0,07/01/2011,Annual Fund,200.0,02904
11200,3677.0,06/01/2012,Annual Fund,100.0,02904
11200,4385.0,12/13/2013,Annual Fund,200.0,02904
11200,5133.0,12/22/2014,Annual Fund,250.0,02904
11200,5570.0,12/14/2015,Annual Fund,250.0,02904
11200,6680.0,12/22/2016,PPL Annual Fund,250.0,02904
11200,6959.0,02/20/2017,PPL Annual Fund,250.0,02904
8978,4795.0,08/02/2014,Annual Fund,250.0,02809
8978,11646.0,05/19/2021,Savor the Story 2021,250.0,02809
8978,11165.0,01/28/2021,PPL Annual Fund,100.0,02809
11125617,13783.0,04/01/2023,RI Family Literacy Initiative,100.0,02889
11125617,5529.0,12/01/2015,Annual Fund,25.0,02889
11125617,5696.0,01/15/2016,Annual Fund,25.0,02889
11125617,12636.0,04/01/2022,PPL Annual Fund,100.0,02889
11125617,11790.0,06/09/2021,PPL Annual Fund,100.0,02889
11125617,12157.0,11/30/2021,PPL Annual Fund,100.0,02889
11125617,8537.0,11/27/2018,PPL Annual Fund,100.0,02889
11125617,8746.0,12/14/2018,PPL Annual Fund,100.0,02889
11138909,2861.0,06/30/2010,Annual Fund,100.0,02536
11138909,3298.0,06/27/2011,Annual Fund,100.0,02536
11138909,3807.0,11/21/2012,Annual Fund,100.0,02536
11138909,4434.0,12/23/2013,Annual Fund,100.0,02536
11138909,4966.0,11/23/2014,Annual Fund,100.0,02536
11138909,5480.0,11/25/2015,Annual Fund,100.0,02536
11138909,6371.0,11/26/2016,PPL Annual Fund,100.0,02536
11138909,7540.0,11/22/2017,PPL Annual Fund,100.0,02536
11138909,8514.0,11/23/2018,PPL Annual Fund,100.0,02536
11138909,9623.0,11/25/2019,PPL Annual Fund,150.0,02536
11138909,10699.0,10/28/2020,PPL Annual Fund,100.0,02536
11138909,11171.0,01/29/2021,PPL Annual Fund,100.0,02536
